Name,Executable_Name
"Ori and the Blind Forest: Definitive Edition","ori.exe"
"Ori and the Blind Forest: Definitive Edition","oride.exe"
"Red Faction","redfaction.exe"
"SpellForce 2 - Anniversary Edition","spellforce2.exe"
"The Guild 3","guild3.exe"
"Firewatch","firewatch.exe"
"The Witness","witness64_d3d11.exe"
"The Talos Principle","talos.exe"
"The Surge","thesurge.exe"
"Rebel Galaxy","rebelgalaxygog.exe"
"Rebel Galaxy","rebelgalaxysteam.exe"
"Fractured Space","fractured space.exe"
"Fractured Space","spacegame-win64-shipping.exe"
"Planetary Annihilation: TITANS","pa.exe"
"Hyper Light Drifter","hyperlightdrifter.exe"
"Stonehearth","stonehearth.exe"
"Obduction","obduction-win64-shipping.exe"
"Shovel Knight","shovelknight.app"
"Shovel Knight","shovelknight.exe"
"Battle Chasers: Nightwar","bc.exe"
"Wolcen: Lords of Mayhem","wolcen.exe"
"Planet Nomads","planetnomads.exe"
"Agents of Mayhem","aom_release_final.exe"
"Dead Island Definitive Edition","deadislandgame.exe"
"Dead Island Riptide Definitive Edition","deadislandgame_x86_rwdi.exe"
"Dead Island Riptide Definitive Edition","deadislandriptidegame.exe"
"DiRT 4","dirt4.exe"
"F1 2016","f1_2016.exe"
"F1 2017","f1_2017.exe"
"Homefront: The Revolution","homefront.exe"
"Metro 2033 Redux","metro.exe"
"Metro 2033 Redux","metro2033.exe"
"Metro: Last Light Redux","metro.exe"
"Metro: Last Light Redux","metroll.exe"
"Micro Machines World Series","micromachines.exe"
"Mighty No. 9","mn9game.exe"
"Risen","risen.exe"
"Ryse: Son of Rome","ryse.exe"
"Saints Row 2","sr2_pc.exe"
"Bridge Constructor","bridgeconstructor.exe"
"Bridge Constructor Portal","bridge_constructor_portal.exe"
"Dead Age","deadage.exe"
"SEUM: Speedrunners from Hell","seum.exe"
"BioShock 2","bioshock2.exe"
"BioShock™ 2 Remastered","bioshock2hd.exe"
"BioShock Infinite","bioshockinfinite.exe"
"BioShock™ Remastered","bioshock.exe"
"BioShock™ Remastered","bioshockhd.exe"
"Borderlands","borderlands.exe"
"Borderlands","borderlands.exe"
"Mafia","game.exe"
"Mafia II","mafia2.exe"
"Mafia III","mafia3.exe"
"Sid Meier's Civilization: Beyond Earth","civilizationbe_dx11.exe"
"Sid Meier's Civilization: Beyond Earth","civilizationbe_mantle.exe"
"WWE 2K18","wwe2k18_x64.exe"
"Deponia","deponia.exe"
"Shadow Tactics: Blades of the Shogun","shadow tactics.exe"
"Silence","silence.exe"
"Kingdom: New Lands","kingdom.exe"
"GoNNER","gonner.exe"
"Guild of Dungeoneering","dungeoneering.exe"
"Antihero","antihero.exe"
"Let Them Come","letthemcome.exe"
"LEGO® STAR WARS™: The Force Awakens","legoswtfa_dx11.exe"
"LEGO® MARVEL's Avengers","legomarvelavengers.exe"
"LEGO® MARVEL's Avengers","legomarvelavengers_dx11.exe"
"LEGO® Jurassic World","legojurassicworld_dx11.exe"
"From Dust","from_dust.exe"
"Rocksmith","rocksmith.exe"
"Tom Clancy's Ghost Recon","ghostrecon.exe"
"ArcaniA","arcania.exe"
"MX vs. ATV Unleashed","mxvsatv.exe"
"The Dwarves","dwarves.exe"
"Sunless Skies","sunless skies.exe"
"Deadlight: Director's Cut","lotdgame.exe"
"Sacred 3","sacred3.exe"
"Trainz: A New Era","tane.exe"
"The Inner World","theinnerworld.exe"
"Assassin's Creed Freedom Cry","acfc.exe"
"Assassin's Creed Syndicate","acs.exe"
"Bloody Good Time","bgt.exe"
"Far Cry 3 Blood Dragon","fc3_blooddragon_d3d11_b.exe"
"I Am Alive","iamalive_game.exe"
"Prince of Persia","launcher.exe"
"Prince of Persia","princeofpersia_launcher.exe"
"Black Mirror","blackmirror.exe"
"Darksiders II: Deathinitive Edition","darksiders2.exe"
"Delta Force: Land Warrior","dflw.exe"
"Full Spectrum Warrior","launcher.exe"
"Full Spectrum Warrior: Ten Hammers","fsw2.exe"
"Men of Valor","menofvalor.exe"
"Nexus: The Jupiter Incident","nexus.exe"
"Sine Mora EX","sinemoraex.exe"
"Sphinx and the Cursed Mummy","sphinxd_gl.exe"
"The Book of Unwritten Tales 2","bout2.exe"
"The Guild Gold Edition","europa1400gold.exe"
"The Guild Gold Edition","europa1400gold_tl.exe"
"Homesick","udk.exe"
"Homesick","udk.exe"
"Shroud of the Avatar","shroud of the avatar.exe"
"Descent: Underground","descent.exe"
"Escape Dead Island","escapedeadisland.exe"
"Bridge Constructor Medieval","bridge_constructor_medieval.exe"
"Bridge Constructor Playground","bridgeconstructorplayground.exe"
"Bridge Constructor Stunts","wmv9codec.exe"
"Bridge Constructor Stunts","bridge_constructor_stunts.exe"
"Deadly 30","deadly30.exe"
"Dub Dash","dubdash.exe"
"Looterkings","looterkings.exe"
"Pixel Heroes: Byte & Magic","pixel heroes - byte and magic.exe"
"Rockfest","rockfest.exe"
"Slime-san","slime-san.exe"
"A New Beginning - Final Cut","anb.exe"
"AER Memories of Old","aer.exe"
"Anna's Quest","anna.exe"
"Blackguards","blackguards.exe"
"Blackguards 2","blackguards 2.exe"
"Crazy Machines 3","cm3.exe"
"Edna & Harvey: Harvey's New Eyes","harvey.exe"
"Edna & Harvey: The Breakout","edna.exe"
"Journey of a Roach","joar.exe"
"Ken Follett's The Pillars of the Earth","pillars.exe"
"Memoria","memoria.exe"
"Munin","munin.exe"
"Shooting Stars!","shootingstars.exe"
"The Dark Eye: Chains of Satinav","satinav.exe"
"The Long Journey Home","tljh-win64-shipping.exe"
"The Night of the Rabbit","rabbit.exe"
"The Whispered World Special Edition","twwse.exe"
"Kathy Rain","kathyrain.exe"
"Uurnog Uurnlimited","uurnog.exe"
"Dandara","dandara.exe"
"Armikrog","armikrog.exe"
"Toren","toren.exe"
"Call of Juarez - Gunslinger","cojgunslinger.exe"
"Trials of the Blood Dragon","trialsblooddragon.exe"
"Delta Force: Task Force Dagger","dftfd.exe"
"Lock's Quest","locksquest.exe"
"Rad Rodgers","rad-win64-shipping.exe"
"Tachyon: The Fringe","tachyon.exe"
"The Book of Unwritten Tales: The Critter Chronicles","critterchronicles.exe"
"Inside","inside.exe"
"The Universim","the universim.exe"
"Lost Horizon","autostarter.exe"
"Grotesque Tactics: Evil Heroes","grotesque tactics.exe"
"In Between","in between.exe"
"Meridian: New World","meridian - new world.exe"
"Safety First!","safetyfirst.exe"
"Townsmen","townsmen.exe"
"Viking Rage","vikingrage.exe"
"Windscape","windscape.exe"
"Assassin's Creed Liberation HD","ac3lhd_32.exe"
"Justice League VR: The Complete Experience","justice_league_vr_the_complete_experience-1.0.0-htcvive-release.exe"
"Justice League VR: The Complete Experience","justice_league_vr_the_complete_experience-1.0.1-htcvive-release.exe"
"South Park The Stick of Truth","south park - the stick of truth.exe"
"Battle Worlds: Kronos","battleworldskronos.exe"
"Overclocked: A History of Violence","ocd.exe"
"SuperPower 2","joshua.exe"
"This is the Police","police.exe"
"Superhot","superhot.exe"
"Superhot","sh.exe"
"Lost Horizon 2","losthorizon2.exe"
"Metro Redux","metro.exe"
"Secret Files 3","fsasgame.exe"
"Clouds & Sheep 2","cloudsandsheep2.exe"
"Future Wars","futurewars.exe"
"Game Royale 2 - The Secret of Jannis Island","gameroyale2.exe"
"Greed: Black Border","greed.exe"
"Holy Avatar vs. Maidens of the Dead","holyavatarvs.exe"
"Meridian: Squad 22","squad22.exe"
"Race.a.bit","raceabit.exe"
"Shiny The Firefly","shiny.exe"
"Skilltree Saga","skilltree.exe"
"SoulCraft","soulcraft.exe"
"Stellar Impact","stellarimpact.exe"
"Subsiege","submerge-win64-shipping.exe"
"Super Treasure Arena","super treasure arena.exe"
"Trapped Dead: Lockdown","trappeddeadlockdown.exe"
"TRISTOY","tristoy.exe"
"Trulon: The Shadow Engine","trulon.exe"
"Twin Sector","twinsector_steam.exe"
"Gotham City Impostors Free to Play","engine.exe"
"Heroes of Might and Magic III HD","homm3 2.0.exe"
"Might and Magic - Heroes V","h5_game.exe"
"LEGO® Batman 2 DC Super Heroes™","legobatman2.exe"
"LEGO Batman","legobatman.exe"
"LEGO Harry Potter: Years 1-4","legoharrypotter.exe"
"Scribblenauts Unmasked: A DC Comics Adventure","scribble.exe"
"Silent Hunter 3","sh3.exe"
"South Park Fractured But Whole","southpark_tfbw.exe"
"Lord of the Rings: War in the North","witn.exe"
"Tom Clancy's Rainbow Six 3","ravenshield.exe"
"Tom Clancy's Rainbow Six Vegas","r6vegas_game.exe"
